county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
6027,US,7/3/2020,68.8,78.2,87.8,7,12,16,2.5,3.1,3.8
32023,US,7/3/2020,55.6,72.8,86.5,6,14,28,1.7,2.6,3.5
32003,US,7/3/2020,73.7,85.8,96.1,9,15,22,2.7,4.6,6.3
32015,US,7/3/2020,55.7,69.5,80.4,9,16,29,2.1,3,3.8
32009,US,7/3/2020,60.3,77.5,91.1,7,16,32,2.7,3.5,4.6
49045,US,7/3/2020,66.2,82.9,94.6,8,16,31,3,4.1,5.6
32011,US,7/3/2020,53.8,72.4,87,9,16,36,2.3,3.1,4
6071,US,7/3/2020,71.2,86.5,99.9,11,17,29,3.4,4.8,5.6
32017,US,7/3/2020,64.8,75.8,86,10,18,24,1.8,4,4.9
32027,US,7/3/2020,61.6,77.3,91.1,7,18,37,2.6,3.8,4.9
49019,US,7/3/2020,61.9,79,92.5,12,18,27,3.3,4.7,6.1
32013,US,7/3/2020,53.7,72.9,87.9,8,19,38,2.7,3.5,4.7
49023,US,7/3/2020,58,76.2,91,11,19,34,2.7,4.1,4.8
56007,US,7/3/2020,47.3,70.3,86,8,20,38,2.6,3.4,4.5
32033,US,7/3/2020,51.7,67.9,80.7,8,20,36,2.1,3.4,4.3
6065,US,7/3/2020,68,83.4,94.6,14,20,28,4.1,5.4,6.4
32031,US,7/3/2020,55.5,76.3,91,9,20,40,3,4.2,5
49027,US,7/3/2020,60.3,78.5,93.1,11,21,41,3.8,4.6,5.5
8077,US,7/3/2020,62.9,75.4,86.3,16,21,27,3.9,5.1,5.9
49047,US,7/3/2020,55.1,75.1,91.3,9,21,38,3.6,4.2,5.1
32001,US,7/3/2020,54.5,65.2,75.5,11,22,34,2.5,3.5,4.4
8103,US,7/3/2020,58.2,71.3,81.7,14,22,34,3.5,4.6,5.9
49055,US,7/3/2020,60.5,77.9,89.7,13,22,37,2.9,5.6,9.1
32021,US,7/3/2020,54.9,69.9,84.1,9,23,44,2.7,4,5.2
49007,US,7/3/2020,60.1,72.8,86.6,15,23,36,3.2,4.8,7
49015,US,7/3/2020,61.6,74.5,85,16,23,38,3.7,5.3,7.2
32005,US,7/3/2020,51.9,63.6,73.5,13,23,42,2.9,3.6,4.8
4015,US,7/3/2020,68.3,85.1,97.4,15,24,34,5.4,6.7,8.6
8081,US,7/3/2020,47.1,69.9,88,10,25,49,3.5,4.5,5.6
41025,US,7/3/2020,44.3,66.2,82,12,25,44,2.7,3.8,4.9
49001,US,7/3/2020,57.5,71.9,83.8,15,25,41,4,5.1,6.3
56025,US,7/3/2020,57,76.1,91.4,7,25,54,2.6,4.9,8.4
49035,US,7/3/2020,67.1,80.9,92.7,15,25,38,5.2,6.4,8
35051,US,7/3/2020,67.4,83.7,96,13,25,46,5,6.9,8.2
6025,US,7/3/2020,75.4,90.6,103.2,14,26,48,5.5,7.5,12.1
49049,US,7/3/2020,58.4,77.2,92.6,15,26,40,4.3,5.9,7.4
35053,US,7/3/2020,66.3,83.4,96.1,12,26,43,5.4,6.9,10.4
6069,US,7/3/2020,56.4,68.5,81.2,15,26,43,2.7,4.2,5.5
6037,US,7/3/2020,60.2,70.8,79.4,14,26,40,2.8,4.7,6.9
6029,US,7/3/2020,66.2,79.3,91.4,18,26,35,4.3,5.7,6.8
56037,US,7/3/2020,45.3,69.5,86.3,10,27,57,3.4,4.3,5
8085,US,7/3/2020,55.5,64.5,72.2,21,27,32,4,4.8,5.7
4013,US,7/3/2020,82.9,94.5,104.6,17,27,40,8.5,9.6,10.8
49009,US,7/3/2020,49.4,64.8,74.7,19,27,52,3.1,4.6,5.9
35013,US,7/3/2020,71.2,85.4,98.1,14,27,41,6.5,7.9,10.4
16073,US,7/3/2020,60.4,75.5,87.7,16,28,42,4.2,6,8
56027,US,7/3/2020,60.6,79.5,94.5,10,28,51,4.2,6.5,8.3
4012,US,7/3/2020,76.7,92,103.1,18,28,47,7.9,9,10
8029,US,7/3/2020,56.2,68,79.1,18,28,38,4,5.1,6.5
6035,US,7/3/2020,48.7,67.5,80.9,13,28,50,3.4,4.4,5.5
32007,US,7/3/2020,51.2,71.7,87.8,11,28,56,3.5,4.9,7
8113,US,7/3/2020,56.7,67.8,77.8,20,28,36,4.2,5.4,6.3
35035,US,7/3/2020,70.5,85.2,98.6,14,28,44,6.4,8.3,10.6
6051,US,7/3/2020,52.8,65.3,76.6,13,28,46,2.8,4.2,5.6
8045,US,7/3/2020,50.8,60.2,68.8,21,29,43,3,4.5,5.8
4011,US,7/3/2020,68.9,85.3,98.6,15,29,50,6.8,8.1,9.5
35001,US,7/3/2020,73.1,84.5,95.3,15,29,46,6.7,8.3,11
35045,US,7/3/2020,67.3,75.6,85.2,21,29,43,5.4,6.7,8.1
4009,US,7/3/2020,78,90.8,103.6,15,29,45,7.9,9.4,11.3
32029,US,7/3/2020,53.7,66,77.8,12,30,52,2.9,4.5,6.1
35029,US,7/3/2020,65.7,82.5,97,14,30,56,5.7,7.5,9
